Key	English	Chinese (Simplified)
Items/CoreEnhance_BoulderDemolish	Boulder Demolisher	矿岩毁灭者
Items/CoreEnhance_BoulderDemolishDesc	"Place, Kick, Boom
Destroy nearby ore boulders"	"放置，敲击，Boom
炸毁附近的矿岩"
CoreEnhance/UI/ItemLookup/CustomLoot	Fixed Loot {[amount]} at a time	固定掉落 {[amount]}个
CoreEnhance/UI/ItemLookup/LootWhenDamaged	Loot When Damaged	受伤时掉落
CoreEnhance/UI/ItemLookup/OnUse	On use, get {[amount]} at a time	使用时掉落 {[amount]}个
CoreEnhance/UI/ItemLookup/Guaranteed	Guaranteed Roll - {[lootTable]}	保底随机{[lootTable]}
CoreEnhance/UI/ItemLookup/Normal	Normal Roll - {[lootTable]}	普通随机{[lootTable]}
CoreEnhance/UI/ItemLookup/Season	Season - {[season]} {[amount]} at a time	季节 {[season]} {[amount]}个
CoreEnhance/UI/ItemLookup/Shop	Shop	商店
CoreEnhance/UI/ItemLookup/ShopRequire	Sell Condition:	售卖条件：
CoreEnhance/UI/ItemLookup/Recipe	Recipe	合成
CoreEnhance/UI/ItemLookup/RecipeAmount	Get {[amount]} at a time	一次性合成{[amount]}个
CoreEnhance/UI/ItemLookup/Craft	Craft	制作
CoreEnhance/UI/ItemLookup/CraftAmount	Get {[amount]} at a time	一次性制作{[amount]}个
CoreEnhance/UI/ItemLookup/DropChance	[Chance {[value]}]	[概率 {[value]}]
CoreEnhance/UI/ItemLookup/Scene	Special Scene - {[scene]}	特殊场景 {[scene]}
ControlMapper/CoreEnhanceCategory	Quality of Core Keeper	更好的体验
ControlMapper/CoreEnhanceDescription	Quality of Core Keeper Control Mapper	更好的体验键位映射
ControlMapper/CoreEnhance_QuickOpenLockedChest	Quick Open Locked Chest	快捷开箱
ControlMapper/CoreEnhance_ItemLookup	Item Lookup (Not implemented)	物品查询（未实装）
ControlMapper/CoreEnhance_ContainerHighLight	Container HighLight (Hold on)	容器高亮（按住）
ControlMapper/CoreEnhance_ClearDropItem	Clear Drop Items	清除掉落物
CoreEnhance/Craft	Craft	制作
CoreEnhance/ObtainWay	Obtain Way	获取途径
CoreEnhance/Switch	Quality of CK Function Switch	更好的体验功能开关
CoreEnhance/Value	Quality of CK Extra Config	更好的体验额外配置
CoreEnhance/Switch/Infinity	Infinity	无限
CoreEnhance/Switch/Accelerate	Accelerate	加速
CoreEnhance/Switch/Automation	Automation	自动化
CoreEnhance/Switch/Pet	Pet	宠物
CoreEnhance/Switch/Misc	Misc	杂项
CoreEnhance/Value/Infinity	Infinity	无限
CoreEnhance/Value/Accelerate	Accelerate	加速
CoreEnhance/Value/Automation	Automation	自动化
CoreEnhance/Value/Pet	Pet	宠物
CoreEnhance/Value/Misc	Misc	杂项
CoreEnhance/Switch/Infinity/Durability	Durability	耐久
CoreEnhance/Switch/Infinity/Durability/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Infinity/Durability	Durability Recovery Interval	耐久度恢复间隔
CoreEnhance/Switch/Infinity/Boulder	Boulder	矿岩
CoreEnhance/Switch/Infinity/Arena	Arena	竞技场
CoreEnhance/Switch/Infinity/Arena/Description	"Please take enough ancient coins and stand in the center of the broken arena and destroy the loot chest
This entry has additional configs"	"请带上足够的上古钱币站在破损竞技场中心，并且已经摧毁战利品宝箱
这个条目有额外配置"
CoreEnhance/Value/Infinity/Arena	Arena Cost	竞技场开销
CoreEnhance/Value/Infinity/Arena/Description	How much ancient coin cost for arena rebuild	竞技场重生需消耗多少上古钱币
CoreEnhance/Switch/Infinity/Minion	Minion	召唤物时长
CoreEnhance/Switch/Accelerate/Merchant	Merchant	商人
CoreEnhance/Switch/Accelerate/Merchant/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Accelerate/Merchant	Merchant Replenish Interval	商人补货间隔
CoreEnhance/Value/Accelerate/Merchant/Description	"In seconds
If set to 0, will replenish immediately while any item is sold out"	单位为秒，如果设为0，则有任何物品售罄时立即刷新
CoreEnhance/Switch/Accelerate/Titan	Titan	泰坦
CoreEnhance/Switch/Accelerate/Titan/Description	This entry has additional configs	这个条目有额外配置
CoreEnhance/Value/Accelerate/Titan	Titan CD	泰坦冷却
CoreEnhance/Value/Accelerate/Titan/Description	"In seconds
Equal to existence time of soul orb"	"单位为秒
等同于灵魂球存在时间"
CoreEnhance/Value/Accelerate/CraftingAnimals	Block Animals	阻止牲畜
CoreEnhance/Value/Accelerate/CraftingAnimals/Description	Whether Accelerate-Crafting is effective on animals	“加速—制造”的效果是否对牲畜生效
CoreEnhance/Value/Accelerate/CraftingFishingNet	Block Fishing Nets	阻止渔网
CoreEnhance/Value/Accelerate/CraftingFishingNet/Description	Whether Accelerate-Crafting is effective on fishing nets	“加速—制造”的效果是否对渔网生效
CoreEnhance/Switch/Accelerate/Crafting	Crafting	制造
CoreEnhance/Switch/Accelerate/Crafting/Description	For example, smelting, cooking, hatching eggs, etc.	例如，冶炼、烹饪、孵蛋等
CoreEnhance/Switch/Accelerate/Casting	Casting	使用
CoreEnhance/Switch/Accelerate/Casting/Description	For example, scanning, synthesis, etc.	例如，扫描、合成等
